Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB118	Proto-Eastern Polynesian	0.86	0.14	107	23	0.21495327102803738	Absent	NA	NA
GB118	Proto-Oceanic	0	1	107	23	0.21495327102803738	Present	NA	NA
GB118	Proto-Polynesian	0	1	107	23	0.21495327102803738	Present	NA	NA
GB119	Proto-Central Pacific	1	0	119	26	0.2184873949579832	Absent	NA	NA
GB119	Proto-Eastern Polynesian	1	0	119	26	0.2184873949579832	Absent	NA	NA
GB119	Proto-Oceanic	1	0	119	26	0.2184873949579832	Absent	NA	NA
GB119	Proto-Polynesian	1	0	119	26	0.2184873949579832	Absent	NA	NA
GB120	Proto-Central Pacific	1	0	120	27	0.225	Absent	NA	NA
GB120	Proto-Eastern Polynesian	1	0	120	27	0.225	Absent	NA	NA
GB120	Proto-Oceanic	1	0	120	27	0.225	Absent	NA	NA
GB120	Proto-Polynesian	1	0	120	27	0.225	Absent	NA	NA
GB121	Proto-Central Pacific	1	0	121	16	0.1322314049586777	Absent	NA	NA
GB121	Proto-Eastern Polynesian	1	0	121	16	0.1322314049586777	Absent	NA	NA
GB121	Proto-Oceanic	1	0	121	16	0.1322314049586777	Absent	0	True Negative
GB121	Proto-Polynesian	1	0	121	16	0.1322314049586777	Absent	NA	NA
GB122	Proto-Central Pacific	0.3661190476190476	0.6338809523809524	84	36	0.42857142857142855	Present	NA	NA
GB122	Proto-Eastern Polynesian	0.6616430505768741	0.3383569494231259	84	36	0.42857142857142855	Absent	NA	NA
GB122	Proto-Oceanic	0.73	0.27	84	36	0.42857142857142855	Absent	NA	NA
GB122	Proto-Polynesian	0.3661190476190476	0.6338809523809524	84	36	0.42857142857142855	Present	NA	NA
GB123	Proto-Central Pacific	NA	NA	54	9	0.16666666666666666	Not enough languages	NA	NA
