Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB110	Proto-Eastern Polynesian	Absent	Absent	Absent				Absent	
GB111	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB111	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB111	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB111	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB113	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	Present
GB113	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB113	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB113	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB114	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB114	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB114	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB114	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB115	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Half	Present
GB115	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Half	Present
GB115	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Half	Present
GB115	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB116	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB116	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB116	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB116	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB117	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
